id,part_id,variant_group_id,supplier,no_tax_price,purchase_special_invoice,purchase_general_invoice,oa_supplier_id,external_price_fields
1665,3118,6ec680528c8e4b259721cfd32ea2190f,宜电,49.56,56.00,,11,
1666,375,356806f3acc24a768f429e46c93362b0,菱威,385.00,0.00,,20,
1667,5428,98054538170b455faf3f25924ef0c3a1,菱威,49.00,0.00,0.00,20,
1668,5428,98054538170b455faf3f25924ef0c3a1,越沃,48.00,0.00,0.00,42,
1669,4392,ebc8aa524482462394552ac58d727de8,菱威,15.00,0.00,,20,
1670,1342,5ddf56d90f5748228adedf0eabbdaa7f,菱威,100.00,0.00,0.00,20,
1671,1342,5ddf56d90f5748228adedf0eabbdaa7f,越沃,90.00,0.00,0.00,42,
1672,4392,fbe16837d8864b68ba6d84dd9172d0dd,越沃,24.00,0.00,0.00,42,
1673,13,1a0c737e59604228a6405811b974ef63,菱威,680.00,768.00,,20,
1674,13,1a0c737e59604228a6405811b974ef63,越沃,750.00,848.00,750.00,42,
1675,112,aa6c9b0782f14e92a4780dc930bf2d33,菱威,465.00,0.00,,20,
1676,313,31053bdbac55434e81ab096ea3ba8634,菱威,650.00,0.00,,20,
1677,313,31053bdbac55434e81ab096ea3ba8634,新动力,360.00,0.00,,49,
1678,607,bce8d417a05041ffbf8aa56e33db4618,新动力,580.00,0.00,,49,
1679,430,746412461d004683a3a8887f1e607588,梯乎,330.00,0.00,0.00,77,
1680,430,c74e6108fecf4cb2a700e1898296a796,梯乎,80.00,0.00,0.00,77,
1681,1410,0cdf4584bb184d1dbe24f50ca597d5c1,菱威,850.00,0.00,,20,
1682,5429,84d0daf8b74947749e300081c82f7a44,徽菱,220.00,0.00,0.00,28,
1683,5429,6d9abd15779841a397c3a5818bad0465,梯乎,160.00,0.00,0.00,77,
1684,5429,6d9abd15779841a397c3a5818bad0465,徽菱,100.00,0.00,0.00,28,
1685,1598,7ab78e1cf749400092da8ffdf1fe5a35,大周,600.00,0.00,,52,
1686,1598,7ab78e1cf749400092da8ffdf1fe5a35,菱威,590.00,0.00,,20,
1687,1598,69a8ff2790c145578aef64f6c71caa7c,麦斯特,265.49,300.00,,62,
1688,1072,738bf605ee464c38b161134c8e16d500,梯乎,150.00,0.00,0.00,77,
1689,1072,738bf605ee464c38b161134c8e16d500,徽菱,90.00,0.00,0.00,28,
1690,1598,7ab78e1cf749400092da8ffdf1fe5a35,新动力,550.00,0.00,,49,
1691,3106,e3a696951a2f4eeb9e771e0ca6e7333e,众思创,296.46,335.00,0.00,9,
1692,5430,4ca7b8ca0d844781b90d4c7f01b4f8a0,众思创,309.73,350.00,0.00,9,
1693,1808,6804fcfba7f0440e8a7e175c3488a241,嘉云迪,380.00,0.00,,105,
1694,112,aa6c9b0782f14e92a4780dc930bf2d33,南希,385.00,0.00,,67,
1695,2660,ab8295a1c970405a958f45dd81659691,众思创,0.00,0.00,,9,
1696,5431,037b5227f4fb4121866d69a6425b12cd,菱威,12.00,0.00,,20,
1697,2541,b9b06cb5a2844d7fb3b4b0a10d2b41d3,徽菱,600.00,0.00,0.00,28,
1698,2541,b9b06cb5a2844d7fb3b4b0a10d2b41d3,新动力,640.00,0.00,,49,
1699,5432,e3dbbf2d2ef8486fbd59472b05429ba6,湖州讯通,300.88,340.00,,103,
1700,5433,1dc03d42955e491187fe18bb075ed8fd,菱威,120.00,0.00,,20,
1701,140,1f4042c6c4104f8d85727a88f5933b1f,新动力,640.00,0.00,,49,
1702,5434,4b2ba00400d440a2a974ea3c038ada57,宜电,61.50,69.50,,11,
1703,5435,8ad152eebd974cb4a40f0e84d43b815a,新动力,0.00,0.00,,49,
1704,5436,b67a6a69e4414d7dbb66b761f78e2f24,龙奥机电,1327.43,1500.00,,95,
1705,5436,7271cc4ea40643c19eedbf90e3c6a940,丽景恒泰,1200.00,1356.00,,84,
1706,5437,e77f299d1e944f0283297edd5aaec9e5,梯乎,260.00,0.00,0.00,77,
1707,5437,0713e68e8960400aa68987c684252c70,徽菱,200.00,0.00,0.00,28,
1708,5438,f3b5d1e0892e4b25a730a86960d9923c,梯安,1170.00,0.00,,18,
1709,5439,fa55ddcba72b4d7b80f08c5d2b3d0d89,梯乎,1160.00,0.00,0.00,77,
1710,5439,fa55ddcba72b4d7b80f08c5d2b3d0d89,徽菱,1200.00,0.00,0.00,28,
1711,5439,b18dd1f1dd5942998cdbde2c4ca81d47,徽菱,480.00,0.00,0.00,28,
1712,774,b15a8d39f2834bfd8ab637a9bc490dc7,梯乎,400.00,0.00,0.00,77,
1713,774,60b9daa5480e4aada9d84115c24b7315,徽菱,800.00,0.00,0.00,28,
1714,456,79a07440fe1848b583f7d5dfb83cc04b,龙奥机电,1725.66,1950.00,,95,
1715,476,c099fab1f191439785f798dc6c33b243,菱威,2100.00,0.00,,20,
1716,525,dca8b800f7c54e38a834591f61e42255,菱威,480.00,0.00,,20,
1717,593,6a792e3344704949ac7af9b1477d10be,菱威,100.00,0.00,,20,
1718,596,76018cbae489452f92db3660c3bef451,菱威,1300.00,0.00,,20,
1719,598,88a9fc0512dd4f96bfc46ddd6eab379c,菱威,65.00,0.00,,20,
1720,656,23b42010d79b4c1295ac5f11d106d2c8,越沃,1400.00,0.00,0.00,42,
1721,663,e282f9ffe5b940b3aff15de5fac5b203,菱威,840.00,0.00,,20,
1722,1860,ed860659e5214646b9c2eedcea7dcc96,菱威,950.00,0.00,,20,
1723,709,6bc82f4855984fbf99d78481264ba6f0,南希,950.00,0.00,0.00,67,
1724,713,3b41f9681496475c8b3f3a8df592f6bb,菱威,1600.00,0.00,,20,
1725,757,2200c8a11898491095ed435ca3e33ad6,菱威,2900.00,0.00,,20,
1726,805,1166b7e7692c4a09a848f2d28ac27ea8,菱威,2100.00,0.00,,20,
1727,806,594497111bc2417297b85092000cb9c1,菱威,400.00,0.00,,20,
1728,864,d9ad00e71df14f329e1e1cf985736e9d,菱威,1450.00,0.00,,20,
1729,904,fdb0a59aa39b4ccda2727dd958f17293,菱威,240.00,0.00,,20,
1730,927,178e77ac34cc4d8a8c5af3cf48b6a13f,菱威,2600.00,0.00,,20,
1731,997,0a6bbffe2380492e88a56f42f8b1c4f1,龙奥机电,46.90,53.00,,95,
1732,3651,22449c403f3343549940444947296d2d,越沃,55.00,0.00,0.00,42,
1733,3651,22449c403f3343549940444947296d2d,湖州讯通,57.52,65.00,,103,
1734,3811,689fa3b6a6764418864c82500d9d208e,菱威,50.00,0.00,,20,
1735,1242,0a56daa0c82d4983b40afabad5d8a183,菱威,260.00,0.00,,20,
1736,5440,cc91a1d5a5334c1db4541d11a1139198,菱威,58.00,0.00,,20,
1737,5441,7d68e5d2423a46d8bd64009d08e5ae2e,菱威,260.00,0.00,,20,
1738,5441,db372e5df6e54f6bb14f5b836b15ad78,菱威,150.00,0.00,,20,
1739,5442,9f4b9972c95d47079b46a11ee7623fe4,宏鑫,60.18,68.00,,64,
1740,5443,8ef8d32f9fc4428d94382526cb5a94fc,宏鑫,57.52,65.00,,64,
1741,5444,450ecf5aac8246a9be8d2b3fc9144fed,宏鑫,60.18,68.00,,64,
1742,5445,dd851886dcfb4e3ab53049237534544c,宏鑫,60.18,68.00,,64,
1743,5446,d76e0e04695c4458a426c8c9423deec5,宏鑫,69.03,78.00,,64,
